Time,Occupant Number,INDOOR Ambient Temp.,INDOOR Relative Humidity,INDOOR Air Velocity,INDOOR Mean Radiant Temp.,Predicted Mean Vote (PMV)
735084.083333,1.0,24.584695,62.674,0.030988,24.584695,-0.277181
735084.09375,1.0,24.584695,63.014,0.030988,24.584695,-0.274647
735084.104167,1.0,24.584695,63.231,0.030988,24.584695,-0.27303
735084.114583,1.0,24.671003,63.357,0.030988,24.671003,-0.2403
735084.125,1.0,24.671003,63.605,0.030988,24.671003,-0.238442
735084.135417,1.0,24.671003,63.852,0.030988,24.671003,-0.236592
735084.145833,1.0,24.671003,63.974,0.030988,24.671003,-0.235678
735084.15625,1.0,24.671003,64.069,0.030988,24.671003,-0.234967
735084.166667,1.0,24.757317,64.255,0.030988,24.757317,-0.201745
735084.177083,1.0,24.757317,64.589,0.030988,24.757317,-0.19923
735084.1875,1.0,24.757317,64.836,0.030988,24.757317,-0.19737
735084.197917,1.0,24.757317,65.079,0.030988,24.757317,-0.19554
735084.208333,1.0,24.757317,65.174,0.030988,24.757317,-0.194825
735084.21875,1.0,24.671003,65.896,0.030988,24.671003,-0.221281
735084.229167,1.0,24.671003,67.338,0.030988,24.671003,-0.210479
735084.239583,1.0,24.498384,66.689,0.030988,24.498384,-0.27918
735084.25,1.0,24.412071,65.392,0.030988,24.412071,-0.320666
735084.260417,1.0,24.066829,64.338,0.030988,24.066829,-0.454833
735084.270833,1.0,24.066829,63.459,0.030988,24.066829,-0.461183
735084.28125,1.0,24.066829,62.67,0.030988,24.066829,-0.466883
735084.291667,1.0,23.980518,61.979,0.030988,23.980518,-0.503558
735084.302083,1.0,23.721585,61.467,0.030988,23.721585,-0.602223
735084.3125,1.0,23.721585,60.958,0.030988,23.721585,-0.605824
735084.322917,1.0,23.635274,60.48,0.030988,23.635274,-0.640831
735084.333333,1.0,23.376341,60.039,0.030988,23.376341,-0.738753
735084.34375,1.0,23.376341,59.72,0.030988,23.376341,-0.740964
735084.354167,1.0,23.376341,59.501,0.030988,23.376341,-0.742482
735084.364583,1.0,23.376341,59.44,0.030988,23.376341,-0.742905
